state	date	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
MO	2016-09-18	-0.0517235519800416	-0.0831914274494907	-0.0207355593796209	0.0915882935841918	0.00175	0.0194572706877387
MO	2016-09-19	-0.0516888511417494	-0.0836798787613235	-0.0206427792294634	0.0915726570941229	0.0019	0.0196161331837301
MO	2016-09-20	-0.0516943174663377	-0.0839803648866996	-0.0202593629402963	0.0915678491105686	0.00205	0.0197642598224173
MO	2016-09-21	-0.0516800909617693	-0.0842033630227076	-0.0198439573821687	0.0915662885216565	0.00205	0.0197691362069901
MO	2016-09-22	-0.051672198604053	-0.0843685308176271	-0.019746110232601	0.0915461990100449	0.0022	0.0199218426093718
MO	2016-09-23	-0.0516639108257846	-0.0846891034988061	-0.0190140608585243	0.0915639112168191	0.00215	0.019874685497177
MO	2016-09-24	-0.0516793995675221	-0.0848523727893223	-0.0187056300423763	0.0915691278911704	0.00215	0.0198693732629339
MO	2016-09-25	-0.0516513329479143	-0.0851020709244076	-0.0183397914442669	0.0915660283449073	0.00245	0.0201790017251763
MO	2016-09-26	-0.0516384219801186	-0.0853144020175475	-0.0180768750265665	0.0915843434413866	0.00275	0.0204834344433258
MO	2016-09-27	-0.0516402130872314	-0.085886843054847	-0.0179422497452019	0.0915799814173049	0.00295	0.0206828193707174
MO	2016-09-28	-0.0516689581292884	-0.0863815699557229	-0.0176895154972563	0.0915752340566706	0.0032	0.0209229540539574
MO	2016-09-29	-0.0516654335502098	-0.0863522583170566	-0.0173810453911344	0.0915634784102724	0.00315	0.02087416310126
MO	2016-09-30	-0.051669579741428	-0.0871312142233134	-0.0173415180269297	0.0915392147803729	0.00375	0.0214727408375263
MO	2016-10-01	-0.0516925506758478	-0.0874704632068729	-0.0166982142756436	0.0915287753083814	0.0042	0.0219148652749512
MO	2016-10-02	-0.0516986752015064	-0.0878379399960988	-0.0163260430416074	0.0915256162470975	0.0041	0.0218127666690102
MO	2016-10-03	-0.0517031129909502	-0.0880552312496438	-0.0161319233803531	0.0915139444005551	0.00425	0.0219612463441324
MO	2016-10-04	-0.0517016490639925	-0.088088680605506	-0.0160109642871973	0.0915014919932842	0.00425	0.0219617478362791
MO	2016-10-05	-0.0516908942952858	-0.0884432532328946	-0.0157030932202038	0.0915103528528556	0.00435	0.0220654329292528
MO	2016-10-06	-0.0516732128814395	-0.0886516665063492	-0.0155963711912241	0.0915050045326562	0.00505	0.022771494752848
MO	2016-10-07	-0.0516600654969255	-0.0889958251753134	-0.014991251310322	0.0915037622916156	0.0048	0.0225260048382194
MO	2016-10-08	-0.0516567529991643	-0.0892490484241493	-0.0146448447548181	0.0915057214580186	0.0048	0.0225271415211878
