state	date	diff_xibar	diff_low	diff_high	undecided_xibar	dem_win_prob	dem_win_prob_with_undecided
NH	2016-07-29	0.0020260753267935	-0.0177757001615357	0.0240240261463424	0.101273164261993	0.5667	0.5
NH	2016-07-30	0.00227335410113311	-0.0173023791430394	0.0243708380607965	0.101410570624784	0.57325	0.5
NH	2016-07-31	0.00243939184976058	-0.0171581952519702	0.0246658186604036	0.10151255019876	0.57965	0.5
NH	2016-08-01	0.00250935736083054	-0.0171073752707865	0.0250993536864517	0.101601818740648	0.57955	0.5
NH	2016-08-02	0.00253412472596417	-0.0171643168508179	0.024951839327009	0.101635837002171	0.5816	0.5
NH	2016-08-03	0.0025384178315015	-0.0174749035676783	0.0251129304014801	0.101680642548422	0.5814	0.5
NH	2016-08-04	0.00252311344255795	-0.0173945224818241	0.0249833368188007	0.101740550283463	0.57915	0.5
NH	2016-08-05	0.00251018430277046	-0.0175383790272364	0.0248173796924027	0.101764091493718	0.57975	0.5
NH	2016-08-06	0.00248783150301349	-0.0175805737291149	0.0249649213974831	0.101825005037374	0.57885	0.5
NH	2016-08-07	0.00247377795524615	-0.0174528539683111	0.0249233115527956	0.101871304069198	0.5777	0.5
NH	2016-08-08	0.00240188492583029	-0.0174955994507611	0.0247162498516221	0.101916822983344	0.5767	0.5
NH	2016-08-09	0.00231348121386745	-0.0174533202469969	0.0250221748928216	0.101959192928942	0.57335	0.5
NH	2016-08-10	0.00224375955197086	-0.0178206017368185	0.0248647653312916	0.10200823354854	0.57165	0.5
NH	2016-08-11	0.00216387145988264	-0.0179724205312046	0.0251492793119059	0.101968431061302	0.56745	0.5
NH	2016-08-12	0.00207688363791309	-0.0182251772797257	0.0246398570628083	0.101837447482094	0.5637	0.5
NH	2016-08-13	0.00201807593166078	-0.0183134365825455	0.0249807470983165	0.101611879014953	0.5609	0.5
NH	2016-08-14	0.00198701477480303	-0.0184047882263812	0.0246163722461291	0.101374517192911	0.56195	0.5
NH	2016-08-15	0.00191341871194173	-0.0186669762609403	0.0249088297782307	0.101141486464774	0.561	0.5
NH	2016-08-16	0.00182052178555025	-0.0187465792755155	0.0246221058072314	0.100902011385259	0.5565	0.5
NH	2016-08-17	0.00176563526065742	-0.0189028326680037	0.0248086325307574	0.100678736207173	0.55575	0.5
NH	2016-08-18	0.00172599869842085	-0.0191209527491656	0.0248340342145947	0.100441640794126	0.5542	0.5
NH	2016-08-19	0.00167812944853997	-0.0191756727747014	0.0247176096831247	0.100211754287148	0.5505	0.5
